Technique ID,Technique Name,Tactics,Technique Description,Platform,Link,Changed
T1098.004,Account Manipulation: SSH Authorized Keys,Persistence,Adversaries may modify the SSH authorized_keys file to maintain persistence on a victim host. Linux distributions and macOS commonly use key-based authentication to secure the authentication process of SSH sessions for remote management. The authorized_keys< file in SSH specifies the SSH keys that can be used for logging into the user account for which the file is configured.  Adversaries may modify SSH authorized_keys files directly with scripts or shell commands to add their own adversary-supplied public keys. This ensures that an adversary possessing the corresponding private key may log in as an existing user via SSH.,"Linux,macOS",https://attack.mitre.org/techniques/T1098/004,No
T1102.001,Web Service: Dead Drop Resolver,Command And Control,"Adversaries may use an existing, legitimate external Web service to host information that points to additional command and control (C2) infrastructure. Adversaries may post content, known as a dead drop resolver, on Web services with embedded (and often obfuscated/encoded) domains or IP addresses. Once infected, victims will reach out to and be redirected by these resolvers. Use of a dead drop resolver may also protect back-end C2 infrastructure from discovery through malware binary analysis while also enabling operational resiliency (since this infrastructure may be dynamically changed).","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1102/001,No
T1102.002,Web Service: Bidirectional Communication,Command And Control,"Adversaries may use an existing, legitimate external Web service as a means for sending commands to and receiving output from a compromised system over the Web service channel such as Google and Twitter. Compromised systems may leverage popular websites and social media to host command and control (C2) instructions. Those infected systems can then send the output from those commands back over that Web service channel.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1102/002,No
T1102.003,Web Service: One-Way Communication,Command And Control,"Adversaries may use an existing, legitimate external Web service as a means for sending commands to a compromised system without receiving return output over the Web service channel such as Google and Twitter. Compromised systems may leverage popular websites and social media to host command and control (C2) instructions. Those infected systems may opt to send the output from those commands back over a different C2 channel, including to another distinct Web service.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1102/003,No
T1104,Multi-Stage Channels,Command And Control,"Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions.  Remote access tools will call back to the first-stage command and control server for instructions. The first stage may have automated capabilities to collect basic host information, update tools, and upload additional files. A second remote access tool (RAT) could be uploaded at that point to redirect the host to the second-stage command and control server. Use of multiple stages may obfuscate the command and control channel to make detection more difficult.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1104,No
T1105,Ingress Tool Transfer,Command And Control,"Adversaries may transfer tools or other files from an external system into a compromised environment. Files may be copied from an external adversary controlled system through the command and control channel to bring tools into the victim network or through alternate protocols with another tool such as FTP. Files can also be copied over on Mac and Linux with native tools like scp, rsync, and sftp.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1105,No
T1106,Native API,Execution,"Adversaries may directly interact with the native OS application programming interface (API) to execute behaviors. Native APIs provide a controlled means of calling low-level OS services within the kernel, such as those involving hardware/devices, memory, and processes. These native APIs are leveraged by the OS during system boot (when other system components are not yet initialized) as well as carrying out tasks and requests during routine operations. Adversaries may abuse these native API functions as a means of executing behaviors.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1106,No
T1110.001,Brute Force: Password Guessing,Credential Access,Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts.,"Azure AD,Containers,Google Workspace,IaaS,Linux,Office 365,SaaS,Windows,macOS",https://attack.mitre.org/techniques/T1110/001,Yes
T1110.002,Brute Force: Password Cracking,Credential Access,"Adversaries may use password cracking to attempt to recover usable credentials, such as plaintext passwords, when credential material such as password hashes are obtained. [OS Credential Dumping](https://attack.mitre.org/techniques/T1003) is used to obtain password hashes, this may only get an adversary so far when [Pass the Hash](https://attack.mitre.org/techniques/T1550/002) is not an option. Techniques to systematically guess the passwords used to compute hashes are available, or the adversary may use a pre-computed rainbow table to crack hashes. Cracking hashes is usually done on adversary-controlled systems outside of the target network.(Citation: Wikipedia Password cracking) The resulting plaintext password resulting from a successfully cracked hash may be used to log into systems, resources, and services in which the account has access.","Azure AD,Linux,Office 365,Windows,macOS",https://attack.mitre.org/techniques/T1110/002,No
T1110.003,Brute Force: Password Spraying,Credential Access,Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials.,"Azure AD,Containers,Google Workspace,IaaS,Linux,Office 365,SaaS,Windows,macOS",https://attack.mitre.org/techniques/T1110/003,Yes
T1110.004,Brute Force: Credential Stuffing,Credential Access,"Adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap. Occasionally, large numbers of username and password pairs are dumped online when a website or service is compromised and the user account credentials accessed. The information may be useful to an adversary attempting to compromise accounts by taking advantage of the tendency for users to use the same passwords across personal and business accounts.","Azure AD,Containers,Google Workspace,IaaS,Linux,Office 365,SaaS,Windows,macOS",https://attack.mitre.org/techniques/T1110/004,Yes
T1111,Two-Factor Authentication Interception,Credential Access,"Adversaries may target two-factor authentication mechanisms, such as smart cards, to gain access to credentials that can be used to access systems, services, and network resources.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1111,No
T1112,Modify Registry,Defense Evasion,"Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove information as part of cleaning up, or as part of other techniques to aid in persistence and execution.",Windows,https://attack.mitre.org/techniques/T1112,No
T1113,Screen Capture,Collection,"Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation. Screen capturing functionality may be included as a feature of a remote access tool used in post-compromise operations. Taking a screenshot is also typically possible through native utilities or API calls, such as CopyFromScreen, xwd, or screencapture.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1113,No
T1114.001,Email Collection: Local Email Collection,Collection,"Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network. Network sniffing refers to using the network interface on a system to monitor or capture information sent over a wired or wireless connection. An adversary may place a network interface into promiscuous mode to passively access data in transit over the network, or use span ports to capture a larger amount of data.",Windows,https://attack.mitre.org/techniques/T1114/001,No
T1114.002,Email Collection: Remote Email Collection,Collection,Adversaries may target an Exchange server or Office 365 to collect sensitive information. Adversaries may leverage a user's credentials and interact directly with the Exchange server to acquire information from within a network. Adversaries may also access externally facing Exchange services or Office 365 to access email using credentials or access tokens. Tools such as [MailSniper](https://attack.mitre.org/software/S0413) can be used to automate searches for specific keywords.,"Google Workspace,Office 365,Windows",https://attack.mitre.org/techniques/T1114/002,Yes
T1114.003,Email Collection: Email Forwarding Rule,Collection,"Adversaries may setup email forwarding rules to collect sensitive information. Adversaries may abuse email-forwarding rules to monitor the activities of a victim, steal information, and further gain intelligence on the victim or the victim's organization to use as part of further exploits or operations. Any user or administrator within the organization (or adversary with valid credentials) can create rules to automatically forward all received messages to another recipient, forward emails to different locations based on the sender, and more.","Google Workspace,Office 365,Windows",https://attack.mitre.org/techniques/T1114/003,Yes
T1115,Clipboard Data,Collection,"Adversaries may collect data stored in the clipboard from users copying information within or between applications. In Windows, Applications can access clipboard data by using the Windows API. OSX provides a native command, pbpaste to grab clipboard contents.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1115,No
T1119,Automated Collection,Collection,"Once established within a system or network, an adversary may use automated techniques for collecting internal data. Methods for performing this technique could include use of a Command and Scripting Interpreter to search for and copy information fitting set criteria such as file type, location, or name at specific time intervals. This functionality could also be built into remote access tools.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1119,No
T1120,Peripheral Device Discovery,Discovery,"Adversaries may attempt to gather information about attached peripheral devices and components connected to a computer system. Peripheral devices could include auxiliary resources that support a variety of functionalities such as keyboards, printers, cameras, smart card readers, or removable storage. The information may be used to enhance their awareness of the system and network environment or may be used for further actions.","Windows,macOS",https://attack.mitre.org/techniques/T1120,No
T1123,Audio Capture,Collection,"An adversary can leverage a computer's peripheral devices (e.g., microphones and webcams) or applications (e.g., voice and video call services) to capture audio recordings for the purpose of listening into sensitive conversations to gather information. Malware or scripts may be used to interact with the devices through an available API provided by the operating system or an application to capture audio. Audio files may be written to disk and exfiltrated later.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1123,No
T1124,System Time Discovery,Discovery,An adversary may gather the system time and/or time zone from a local or remote system. The system time is set and stored by the Windows Time Service within a domain to maintain time synchronization between systems and services in an enterprise network.,Windows,https://attack.mitre.org/techniques/T1124,No
T1125,Video Capture,Collection,"An adversary can leverage a computer's peripheral devices (e.g., integrated cameras or webcams) or applications (e.g., video call services) to capture video recordings for the purpose of gathering information. Images may also be captured from devices or applications, potentially in specified intervals, in lieu of video files. Malware or scripts may be used to interact with the devices through an available API provided by the operating system or an application to capture video or images.","Windows,macOS",https://attack.mitre.org/techniques/T1125,No
T1127.001,Trusted Developer Utilities Proxy Execution: MSBuild,Defense Evasion,Adversaries may use MSBuild to proxy execution of code through a trusted Windows utility. MSBuild.exe (Microsoft Build Engine) is a software build platform used by Visual Studio. It handles XML formatted project files that define requirements for loading and building various platforms and configurations.,Windows,https://attack.mitre.org/techniques/T1127/001,No
T1129,Shared Modules,Execution,Adversaries may abuse shared modules to execute malicious payloads. The Windows module loader can be instructed to load DLLs from arbitrary local paths and arbitrary Universal Naming Convention (UNC) network paths. Adversaries may use this functionality as a way to execute arbitrary code on a victim system.,Windows,https://attack.mitre.org/techniques/T1129,No
T1132.001,Data Encoding: Standard Encoding,Command And Control,"Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect.  Common data encoding schemes include ASCII, Unicode, hexadecimal, Base64, and MIME. Some data encoding systems may also result in data compression, such as gzip.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1132/001,No
T1132.002,Data Encoding: Non-Standard Encoding,Command And Control,"Adversaries may encode data with a non-standard data encoding system to make the content of command and control traffic more difficult to detect.  Non-standard data encoding schemes may be based on or related to standard data encoding schemes, such as a modified Base64 encoding for the message body of an HTTP request.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1132/002,No
T1133,External Remote Services,"Initial Access,Persistence","Adversaries may leverage external-facing remote services to initially access and/or persist within a network. Remote services such as VPNs, Citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations. Access to Valid Accounts to use the service is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the enterprise network.","Containers,Linux,Windows",https://attack.mitre.org/techniques/T1133,Yes
T1134.001,Access Token Manipulation: Token Impersonation/Theft,"Defense Evasion,Privilege Escalation","Adversaries may duplicate then impersonate another user's token to escalate privileges and bypass access controls. An adversary can create a new access token that duplicates an existing token using ""DuplicateToken(Ex)"".  An adversary may do this when they have a specific, existing process they want to assign the new token to. For example, this may be useful for when the target user has a non-network logon session on the system.",Windows,https://attack.mitre.org/techniques/T1134/001,No
T1134.002,Access Token Manipulation: Create Process with Token,"Defense Evasion,Privilege Escalation","Adversaries may create a new process with a duplicated token to escalate privileges and bypass access controls. An adversary can duplicate a desired access token with ""DuplicateToken(Ex)"" and use it with ""CreateProcessWithTokenW"" to create a new process running under the security context of the impersonated user. This is useful for creating a new process under the security context of a different user.",Windows,https://attack.mitre.org/techniques/T1134/002,No
T1134.003,Access Token Manipulation: Make and Impersonate Token,"Defense Evasion,Privilege Escalation","Adversaries may make and impersonate tokens to escalate privileges and bypass access controls. If an adversary has a username and password but the user is not logged onto the system, the adversary can then create a logon session for the user using the ""LogonUser"" function. The function will return a copy of the new session's access token and the adversary can use ""SetThreadToken"" to assign the token to a thread.",Windows,https://attack.mitre.org/techniques/T1134/003,No
T1134.004,Access Token Manipulation: Parent PID Spoofing,"Defense Evasion,Privilege Escalation","Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges. New processes are typically spawned directly from their parent, or calling, process unless explicitly specified. Adversaries may abuse these mechanisms to evade defenses, such as those blocking processes spawning directly from Office documents, and analysis targeting unusual/potentially malicious parent-child process relationships, such as spoofing the PPID of PowerShell/Rundll32 to be explorer.exe",Windows,https://attack.mitre.org/techniques/T1134/004,No
T1134.005,Access Token Manipulation: SID-History Injection,"Defense Evasion,Privilege Escalation","Adversaries may use SID-History Injection to escalate privileges and bypass access controls. The Windows security identifier (SID) is a unique value that identifies a user or group account. SIDs are used by Windows security in both security descriptors and access tokens. An account can hold additional SIDs in the SID-History Active Directory attribute, allowing inter-operable account migration between domains (e.g., all values in SID-History are included in access tokens).",Windows,https://attack.mitre.org/techniques/T1134/005,No
T1135,Network Share Discovery,Discovery,Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1135,No
T1136.001,Create Account: Local Account,Persistence,"Adversaries may create a local account to maintain access to victim systems. Local accounts are those configured by an organization for use by users, remote support, services, or for administration on a single system or service. With a sufficient level of access, the <code>net user /add</code> command can be used to create a local account. Such accounts may be used to establish secondary credentialed access that do not require persistent remote access tools to be deployed on the system.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1136/001,No
T1136.002,Create Account: Domain Account,Persistence,"Adversaries may create a domain account to maintain access to victim systems. Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain. Domain accounts can cover user, administrator, and service accounts. With a sufficient level of access, the ?net user /add /domain? command can be used to create a domain account. Such accounts may be used to establish secondary credentialed access that do not require persistent remote access tools to be deployed on the system.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1136/002,No
T1136.003,Create Account: Cloud Account,Persistence,"Adversaries may create a cloud account to maintain access to victim systems. With a sufficient level of access, such accounts may be used to establish secondary credentialed access that does not require persistent remote access tools to be deployed on the system. Adversaries may create accounts that only have access to specific cloud services, which can reduce the chance of detection.","Azure AD,Google Workspace,IaaS,Office 365",https://attack.mitre.org/techniques/T1136/003,Yes
T1137.001,Office Application Startup: Office Template Macros,Persistence,Adversaries may abuse Microsoft Office templates to obtain persistence on a compromised system. Microsoft Office contains templates that are part of common Office applications and are used to customize styles. The base templates within the application are used each time an application starts.,"Office 365,Windows",https://attack.mitre.org/techniques/T1137/001,No
T1137.002,Office Application Startup: Office Test,Persistence,"Adversaries may abuse the Microsoft Office ""Office Test"" Registry key to obtain persistence on a compromised system. An Office Test Registry location exists that allows a user to specify an arbitrary DLL that will be executed every time an Office application is started. This Registry key is thought to be used by Microsoft to load DLLs for testing and debugging purposes while developing Office applications. This Registry key is not created by default during an Office installation.","Office 365,Windows",https://attack.mitre.org/techniques/T1137/002,No
T1137.003,Office Application Startup: Outlook Forms,Persistence,"Adversaries may abuse Microsoft Outlook forms to obtain persistence on a compromised system. Outlook forms are used as templates for presentation and functionality in Outlook messages. Custom Outlook forms can be created that will execute code when a specifically crafted email is sent by an adversary utilizing the same custom Outlook form. Once malicious forms have been added to the user's mailbox, they will be loaded when Outlook is started. Malicious forms will execute when an adversary sends a specifically crafted email to the user.","Office 365,Windows",https://attack.mitre.org/techniques/T1137/003,No
T1137.004,Office Application Startup: Outlook Home Page,Persistence,Adversaries may abuse Microsoft Outlook's Home Page feature to obtain persistence on a compromised system. Outlook Home Page is a legacy feature used to customize the presentation of Outlook folders. This feature allows for an internal or external URL to be loaded and presented whenever a folder is opened. A malicious HTML page can be crafted that will execute code when loaded by Outlook Home Page.,"Office 365,Windows",https://attack.mitre.org/techniques/T1137/004,No
T1137.005,Office Application Startup: Outlook Rules,Persistence,"Adversaries may abuse Microsoft Outlook rules to obtain persistence on a compromised system. Outlook rules allow a user to define automated behavior to manage email messages. Once malicious rules have been added to the user's mailbox, they will be loaded when Outlook is started. Malicious rules will execute when an adversary sends a specifically crafted email to the user.","Office 365,Windows",https://attack.mitre.org/techniques/T1137/005,No
T1137.006,Office Application Startup: Add-ins,Persistence,"Adversaries may abuse Microsoft Office add-ins to obtain persistence on a compromised system. Office add-ins can be used to add functionality to Office programs. There are different types of add-ins that can be used by the various Office products; including Word/Excel add-in Libraries (WLL/XLL), VBA add-ins, Office Component Object Model (COM) add-ins, automation add-ins, VBA Editor (VBE), Visual Studio Tools for Office (VSTO) add-ins, and Outlook add-ins. Add-ins can be used to obtain persistence because they can be set to execute code when an Office application starts.","Office 365,Windows",https://attack.mitre.org/techniques/T1137/006,No
T1140,Deobfuscate/Decode Files or Information,Defense Evasion,Adversaries may use [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027) to hide artifacts of an intrusion from analysis. They may require separate mechanisms to decode or deobfuscate that information depending on how they intend to use it. Methods for doing that include built-in functionality of malware or by using utilities present on the system.  One such example is use of [certutil](https://attack.mitre.org/software/S0160) to decode a remote access tool portable executable file that has been hidden inside a certificate file. (Citation: Malwarebytes Targeted Attack against Saudi Arabia) Another example is using the Windows <code>copy /b</code> command to reassemble binary fragments into a malicious payload. (Citation: Carbon Black Obfuscation Sept 2016) Sometimes a user's action may be required to open it for deobfuscation or decryption as part of [User Execution](https://attack.mitre.org/techniques/T1204). The user may also be required to input a password to open a password protected compressed/encrypted file that was provided by the adversary. (Citation: Volexity PowerDuke November 2016),"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1140,No
T1176,Browser Extensions,Persistence,"Adversaries may abuse Internet browser extensions to establish persistence access to victim systems. Malicious extensions can be installed into a browser through malicious app store downloads masquerading as legitimate extensions, through social engineering, or by an adversary that has already compromised a system. Security can be limited on browser app stores so it may not be difficult for malicious extensions to defeat automated scanners.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1176,No
T1185,Man in the Browser,Collection,"Adversaries can take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify behavior, and intercept information as part of various man in the browser techniques.  A specific example is when an adversary injects software into a browser that allows an them to inherit cookies, HTTP sessions, and SSL client certificates of a user and use the browser as a way to pivot into an authenticated intranet. Browser pivoting requires the SeDebugPrivilege and a high-integrity process to execute. Browser traffic is pivoted from the adversary's browser through the user's browser by setting up an HTTP proxy which will redirect any HTTP and HTTPS traffic.",Windows,https://attack.mitre.org/techniques/T1185,No
T1187,Forced Authentication,Credential Access,Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept.The Server Message Block (SMB) protocol is commonly used in Windows networks for authentication and communication between systems for access to resources and file sharing. When a Windows system attempts to connect to an SMB resource it will automatically attempt to authenticate and send credential information for the current user to the remote system.,Windows,https://attack.mitre.org/techniques/T1187,No
T1189,Drive-by Compromise,Initial Access,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. With this technique, the user's web browser is typically targeted for exploitation, but adversaries may also use compromised websites for non-exploitation behavior such as acquiring Application Access Token. The focus of this technique is to exploit software on a client endpoint upon visiting a website. This will commonly give an adversary access to systems on the internal network instead of external systems that may be in a DMZ. Adversaries may also use compromised websites to deliver a user to a malicious application designed to Steal Application Access Token","Linux,SaaS,Windows,macOS",https://attack.mitre.org/techniques/T1189,No
T1190,Exploit Public-Facing Application,Initial Access,"Adversaries may attempt to take advantage of a weakness in an Internet-facing computer or program using software, data, or commands in order to cause unintended or unanticipated behavior. The weakness in the system can be a bug, a glitch, or a design vulnerability. These applications are often websites, but can include databases, standard services, and any other applications with Internet accessible open sockets, such as web servers and related services. Depending on the flaw being exploited this may include Exploitation for Defense Evasion.","Containers,IaaS,Linux,Network,Windows,macOS",https://attack.mitre.org/techniques/T1190,Yes
T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Initial Access,Adversaries may manipulate software dependencies and development tools prior to receipt by a final consumer for the purpose of data or system compromise. Applications often depend on external software to function properly. Popular open source projects that are used as dependencies in many applications may be targeted as a means to add malicious code to users of the dependency. Targeting may be specific to a desired victim set or may be distributed to a broad set of consumers but only move on to additional tactics on specific victims.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1195/001,No
T1195.002,Supply Chain Compromise: Compromise Software Supply Chain,Initial Access,"Adversaries may manipulate application software prior to receipt by a final consumer for the purpose of data or system compromise. Supply chain compromise of software can take place in a number of ways, including manipulation of the application source code, manipulation of the update/distribution mechanism for that software, or replacing compiled releases with a modified version. Targeting may be specific to a desired victim set or may be distributed to a broad set of consumers but only move on to additional tactics on specific victims.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1195/002,No
T1195.003,Supply Chain Compromise: Compromise Hardware Supply Chain,Initial Access,"Adversaries may manipulate hardware components in products prior to receipt by a final consumer for the purpose of data or system compromise. By modifying hardware or firmware in the supply chain, adversaries can insert a backdoor into consumer networks that may be difficult to detect and give the adversary a high degree of control over the system. Hardware backdoors may be inserted into various devices, such as servers, workstations, network infrastructure, or peripherals.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1195/003,No
T1197,BITS Jobs,"Defense Evasion,Persistence","Adversaries may abuse Windows Background Intelligent Transfer Service (BITS) jobs to persistently execute or clean up after malicious payloads. BITS is a low-bandwidth, asynchronous file transfer mechanism exposed through Component Object Model. BITS is commonly used by updaters, messengers, and other applications preferred to operate in the background. The interface to create and manage BITS jobs is accessible through PowerShell. Adversaries may abuse BITS to download, execute, and even clean up after running malicious code. BITS upload functionalities can also be used to perform Exfiltration Over Alternative Protocol.",Windows,https://attack.mitre.org/techniques/T1197,No
T1199,Trusted Relationship,Initial Access,"Adversaries may breach or otherwise leverage organizations who have access to intended victims. Access through trusted third party relationship exploits an existing connection that may not be protected or receives less scrutiny than standard mechanisms of gaining access to a network. Organizations often grant elevated access to second or third-party external providers in order to allow them to manage internal systems as well as cloud-based environments.  As such, Valid Accounts used by the other party for access to internal network systems may be compromised and used.","IaaS,Linux,SaaS,Windows,macOS",https://attack.mitre.org/techniques/T1199,Yes
T1200,Hardware Additions,Initial Access,"Adversaries may introduce computer accessories, computers, or networking hardware into a system or network that can be used as a vector to gain access. Many penetration testers leverage hardware additions for initial access. Commercial and open source products are leveraged with capabilities such as passive network tapping, man-in-the middle encryption breaking, keystroke injection, kernel memory reading via DMA, adding new wireless access to an existing network, and others.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1200,No
T1201,Password Policy Discovery,Discovery,Adversaries may attempt to access detailed information about the password policy used within an enterprise network. Password policies for networks are a way to enforce complex passwords that are difficult to guess or crack through. This would help the adversary to create a list of common passwords and launch dictionary and/or brute force attacks which adheres to the policy.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1201,No
T1202,Indirect Command Execution,Defense Evasion,"Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters. Various Windows utilities may be used to execute commands, possibly without invoking cmd. Adversaries may abuse these features for Defense Evasion, specifically to perform arbitrary execution while subverting detections and/or mitigation controls (such as Group Policy) that limit/prevent the usage of cmd or file extensions more commonly associated with malicious payloads.",Windows,https://attack.mitre.org/techniques/T1202,No
T1203,Exploitation for Client Execution,Execution,"Adversaries may exploit software vulnerabilities in client applications to execute code. Vulnerabilities can exist in software due to unsecure coding practices that can lead to unanticipated behavior. Adversaries can take advantage of certain vulnerabilities through targeted exploitation for the purpose of arbitrary code execution.  Several types exist: Browser-based Exploitation, Office Applications and Common Third-party Applications.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1203,No
T1204.001,User Execution: Malicious Link,Execution,An adversary may rely upon a user clicking a malicious link in order to gain execution. Users may be subjected to social engineering to get them to click on a link that will lead to code execution. Clicking on a link may also lead to other execution techniques such as exploitation of a browser or application vulnerability via Exploitation for Client Execution. Links may also lead users to download files that require execution via Malicious File.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1204/001,No
T1204.002,User Execution: Malicious File,Execution,"An adversary may rely upon a user opening a malicious file in order to gain execution. Users may be subjected to social engineering to get them to open a file that will lead to code execution. This user action will typically be observed as follow-on behavior from Spearphishing Attachment. Adversaries may use several types of files that require a user to execute them, including .doc, .pdf, .xls, .rtf, .scr, .exe, .lnk, .pif, and .cpl.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1204/002,No
T1204.003,User Execution: Malicious Image,Execution,"Adversaries may rely on a user running a malicious image to facilitate execution. Amazon Web Services (AWS) Amazon Machine Images (AMIs), Google Cloud Platform (GCP) Images, and Azure Images as well as popular container runtimes such as Docker can be backdoored. Backdoored images may be uploaded to a public repository via [Upload Malware](https://attack.mitre.org/techniques/T1608/001), and users may then download and deploy an instance or container from the image without realizing the image is malicious, thus bypassing techniques that specifically achieve Initial Access. This can lead to the execution of malicious code, such as code that executes cryptocurrency mining, in the instance or container.(Citation: Summit Route Malicious AMIs)","Containers,IaaS",https://attack.mitre.org/techniques/T1204/003,Yes
T1205.001,Traffic Signaling: Port Knocking,"Command And Control,Defense Evasion,Persistence","Adversaries may use port knocking to hide open ports used for persistence or command and control. To enable a port, an adversary sends a series of attempted connections to a predefined sequence of closed ports. After the sequence is completed, opening a port is often accomplished by the host based firewall, but could also be implemented by custom software. This technique has been observed to both for the dynamic opening of a listening port as well as the initiating of a connection to a listening server on a different system.","Linux,Network,Windows,macOS",https://attack.mitre.org/techniques/T1205/001,No
T1207,Rogue Domain Controller,Defense Evasion,"Adversaries may register a rogue Domain Controller to enable manipulation of Active Directory data. DCShadow may be used to create a rogue Domain Controller (DC). DCShadow is a method of manipulating Active Directory (AD) data, including objects and schemas, by registering (or reusing an inactive registration) and simulating the behavior of a DC. Once registered, a rogue DC may be able to inject and replicate changes into AD infrastructure for any domain object, including credentials and keys.",Windows,https://attack.mitre.org/techniques/T1207,No
T1210,Exploitation of Remote Services,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1210,No
T1211,Exploitation for Defense Evasion,Defense Evasion,"Adversaries may exploit a system or application vulnerability to bypass security features. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code.??Vulnerabilities may exist in defensive security software that can be used to disable or circumvent them.Adversaries may have prior knowledge through reconnaissance that security software exists within an environment or they may perform checks during or shortly after the system is compromised for [Security Software Discovery](https://attack.mitre.org/techniques/T1518/001). The security software will likely be targeted directly for exploitation. There are examples of antivirus software being targeted by persistent threat groups to avoid detection.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1211,No
T1212,Exploitation for Credential Access,Credential Access,"Adversaries may exploit software vulnerabilities in an attempt to collect credentials. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. Credentialing and authentication mechanisms may be targeted for exploitation by adversaries as a means to gain access to useful credentials or circumvent the process to gain access to systems.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1212,No
T1213.001,Data from Information Repositories: Confluence,Collection,"Adversaries may leverage Confluence repositories to mine valuable information. Often found in development environments alongside Atlassian JIRA, Confluence is generally used to store development-related documentation, however, in general may contain more diverse categories of useful information, such as: Policies, procedures, and standards; Physical / logical network diagrams; System architecture diagrams; Source code snippets; Links to network shares and other internal resources etc.",SaaS,https://attack.mitre.org/techniques/T1213/001,No
T1213.002,Data from Information Repositories: Sharepoint,Collection,"Adversaries may leverage the SharePoint repository as a source to mine valuable information. SharePoint will often contain useful information for an adversary to learn about the structure and functionality of the internal network and systems. For example, the following is a list of example information that may hold potential value to an adversary and may also be found on SharePoint: such as:  Policies, procedures, and standards, Physical / logical network diagrams, System architecture diagrams, Technical system documentation, Testing / development credentials, Work / project schedules, Source code snippet and Links to network shares and other internal resources.","Office 365,Windows",https://attack.mitre.org/techniques/T1213/002,No
T1216.001,Signed Script Proxy Execution: PubPrn,Defense Evasion,Adversaries may use scripts signed with trusted certificates to proxy execution of malicious files. Several Microsoft signed scripts that are default on Windows installations can be used to proxy execution of other files. This behavior may be abused by adversaries to execute malicious files that could bypass application control and signature validation on systems,Windows,https://attack.mitre.org/techniques/T1216/001,No
T1217,Browser Bookmark Discovery,Discovery,"Adversaries may enumerate browser bookmarks to learn more about compromised hosts. Browser bookmarks may reveal personal information about users (ex: banking sites, interests, social media, etc.) as well as details about internal network resources such as servers, tools/dashboards, or other related infrastructure.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1217,No
